"Skolaar","Parent Account Name","Account Name","Integration","Active Classes","Active Instructors","Submissions","Similarity Reports","0% Similarity","1-24% Similarity","25-49% Similarity","50-74% Similarity","75-100% Similarity","Submissions with Feedback","Submissions Scored with a Rubric","Total Feedback (Comments and Marks)","Summary Text Comments","Voice Comments","QuickMarks","Bubble Comments","Inline Text Comments","ETS e-rater Marks","Strikethrough Marks","Grading Form Marks","Peer Reviews Created","Skolastig"
"2018-2019","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","Native",27,6,37,38,5,27,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Suðurlands","Fjölbrautaskóli Suðurlands","Native",7,2,4,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2017-2018","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","Native",36,18,199,254,31,164,34,7,14,18,0,216,0,0,1,41,109,0,65,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","Native",61,46,539,736,127,454,92,19,43,236,0,2603,0,0,5,379,1790,0,429,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Suðurnesja","Fjölbrautaskóli Suðurnesja","Native",135,47,577,958,112,432,213,123,70,289,1,2050,1,0,0,151,1634,0,264,0,0,"Framhaldsskólar"
"2019-2020","Fjölbrautaskóli Vesturlands","Fjölbrautaskóli Vesturlands","Native",5,2,27,27,1,15,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2018-2019","Fjölbrautaskólinn í Breiðholti","Fjölbrautaskólinn í Breiðholti","Native",1,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,"Framhaldsskólar"
"2014-2015","Háskólinn í Reykjavík","Frumgreinar","Native",2,2,17,17,0,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2015-2016","Háskólinn í Reykjavík","Frumgreinar","Native",1,1,6,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Háskólar"
"2011-2012","Háskóli Íslands","Háskóli Íslands","Native",11,4,41,38,7,22,1,0,4,1,0,2,0,0,1,1,0,0,0,0,0,"Háskólar"
"2012-2013","Háskóli Íslands","Háskóli Íslands","Native",55,21,97,97,5,64,4,7,13,4,0,13,0,0,7,6,0,0,0,0,0,"Háskólar"
"2013-2014","Háskóli Íslands","Háskóli Íslands","Native",114,70,180,166,23,63,15,9,36,5,0,6,0,0,5,1,0,0,0,0,0,"Háskólar"
"2014-2015","Háskóli Íslands","Háskóli Íslands","Native",256,133,408,405,113,239,27,8,13,20,0,612,0,0,4,204,39,0,0,365,1,"Háskólar"
"2015-2016","Háskóli Íslands","Háskóli Íslands","Native",237,221,377,373,79,246,23,11,12,75,44,966,33,22,196,288,2,0,0,425,0,"Háskólar"
"2016-2017","Háskóli Íslands","Háskóli Íslands","Native",250,269,877,1189,109,892,139,5,33,210,69,1191,142,5,405,639,0,0,0,0,0,"Háskólar"
"2017-2018","Háskóli Íslands","Háskóli Íslands","Native",274,180,1075,1332,287,883,104,12,23,159,74,1044,106,0,80,739,1,6,112,0,1,"Háskólar"
"2018-2019","Háskóli Íslands","Háskóli Íslands","Native",677,369,360,364,11,280,36,9,18,30,0,2133,30,0,0,0,0,2103,0,0,0,"Háskólar"
