"Skolaar","Parent.Account.Name","Account.Name","Skolastig","Active.classes","Submissions","Similarity.Reports","X0..Similarity","X1.24..Similarity","X25.49..Similarity","X50.74..Similarity","X75.100..Similarity","Submissions.with.Feedback","Submissions.Scored.with.a.Rubric","Total.Feedback..Comments.and.Marks.","Summary.Text.Comments","Voice.Comments","QuickMarks","Bubble.Comments","Inline.Text.Comments","ETS.e.rater.Marks","Strikethrough.Marks","Grading.Form.Marks","Peer.Reviews.Created"
"2017-2018","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",61,2927,3274,254,2175,346,228,271,370,4,3017,57,0,894,1804,75,0,187,0,0
"2018-2019","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",72,3891,4411,307,2557,683,289,575,674,206,6152,330,0,2317,2772,324,0,157,252,0
"2019-2020","Háskólinn á Akureyri","Háskólinn á Akureyri","Háskólar",76,5006,7460,567,4101,1798,709,277,1080,321,7588,551,0,2552,3261,238,0,192,794,0
"2016-2017","Háskólinn á Bifröst","Háskólinn á Bifröst","Háskólar",1,40,61,0,58,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólinn á Bifröst","Háskólinn á Bifröst","Háskólar",2,43,43,0,39,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"2018-2019","Háskólinn á Bifröst","Háskólinn á Bifröst","Háskólar",1,31,31,1,21,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",11,475,475,23,369,21,22,40,4,0,4,0,0,0,4,0,0,0,0,0
"2014-2015","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",6,141,141,1,116,18,3,3,0,0,0,0,0,0,0,0,0,0,0,0
"2015-2016","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",9,328,325,8,271,24,7,15,0,0,0,0,0,0,0,0,0,0,0,0
"2016-2017","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",6,184,185,21,105,20,19,20,0,0,0,0,0,0,0,0,0,0,0,0
"2017-2018","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",9,210,209,6,174,18,8,3,1,0,1,0,0,0,1,0,0,0,0,0
"2018-2019","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",5,126,126,4,114,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2019-2020","Háskólinn á Hólum","Háskólinn á Hólum","Háskólar",5,107,107,1,73,22,6,5,0,0,0,0,0,0,0,0,0,0,0,0
"2013-2014","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",1,10,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"2014-2015","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",1,11,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0
"2012-2013","Háskólinn í Reykjavík","Háskólinn í Reykjavík","Háskólar",3,109,109,0,68,26,2,13,0,0,0,0,0,0,0,0,0,0,0,0
